ID,Titre,Saison,Pers.
sal-001,Salade de lentilles vertes feta et herbes,Printemps,2
sal-002,Salade de quinoa aux asperges vertes et citron,Printemps,4
sal-003,Salade de pois chiches rôtis au paprika et légumes croquants,Printemps,4
sal-004,Salade de betteraves rôties chèvre frais et noisettes,Automne,2
sal-005,Salade de chou kale pomme verte et parmesan,Automne,4
sal-006,Salade de patate douce rôtie pois chiches et tahini,Automne,3
sal-007,Salade de riz sauvage aux champignons et noix,Automne,4
sal-008,Salade de courge butternut rôtie grenade et feta,Hiver,4
sal-009,Salade tiède de lentilles corail carottes rôties et cumin,Hiver,2
sal-010,Salade de chou rouge orange et graines de tournesol,Hiver,4
sal-011,Salade lyonnaise revisitée aux œufs pochés et croûtons,Hiver,2
sal-012,Salade de chou-fleur rôti curry et yaourt citronné,Hiver,3
sal-013,Salade de melon concombre feta et menthe,Été,4
sal-014,Salade de pastèque tomates cerises et mozzarella,Été,4
sal-015,Salade de tomates anciennes burrata et pesto de basilic,Été,2
sal-016,Salade grecque gourmande concombre olives et poivrons,Été,4
sal-017,Salade de pâtes orzo tomates séchées roquette et parmesan,Été,4
sal-018,Salade de quinoa mangue avocat et coriandre,Été,2
sal-019,Salade de crevettes grillées mangue et ananas,Été,2
sal-020,Salade de pommes de terre nouvelles radis et ciboulette,Printemps,4
sal-021,Salade de haricots verts œufs mollets et noisettes,Printemps,2
sal-022,Salade de carottes râpées orange et graines de sésame,Printemps,4
sal-023,Salade niçoise revisitée au thon frais snacké,Été,2
sal-024,Salade de boulgour pois chiches concombre et herbes,Été,4
sal-025,Salade de courgettes grillées fromage de chèvre et pignons,Été,2
sal-026,Salade de pommes poire roquefort et noix,Automne,2
sal-027,Salade de pousses d’épinards champignons et œuf poché,Automne,2
sal-028,Salade tiède de sarrasin poireau rôti et œuf mollet,Hiver,2
sal-029,Salade de riz noir courge rôtie et feta,Hiver,3
sal-030,Salade de poulet mariné agrumes avocat et jeunes pousses,Printemps,3
